Name,Age,Gender,Phone,Email,Product,Price,Order_Date,Payment_Date,Profit
Petra Lott,16,Male,1-709-622-1670,petralott9494@google.net,Crestor,85000,2021-12-16 21:38:00 UTC,2021-12-16 23:31:00 UTC,59500
Rahim Cook,16,Male,(355) 777-1682,rahimcook@google.com,Synthroid,150000,2021-04-29 15:38:00 UTC,2021-04-29 18:02:00 UTC,105000
Rahim Cook,16,Male,(355) 777-1682,rahimcook@google.com,Plavix,225000,2021-06-08 15:38:00 UTC,2021-06-08 17:32:00 UTC,100000
Rahim Cook,16,Male,(355) 777-1682,rahimcook@google.com,Singulair,50000,2021-07-23 15:38:00 UTC,2021-07-23 17:32:00 UTC,40000
Rahim Cook,16,Male,(355) 777-1682,rahimcook@google.com,Hydrocodone/APAP,200000,2021-10-07 15:38:00 UTC,2021-10-07 17:32:00 UTC,110000
Micah Pratt,16,Male,(234) 156-4761,micahpratt5383@icloud.net,Metoprolol Tartrate,175000,2022-03-08 17:18:00 UTC,2022-03-08 19:42:00 UTC,140000
Tasha Mckay,16,Male,(242) 214-4239,tashamckay5115@hotmail.com,Synthroid,150000,2021-06-06 13:53:00 UTC,2021-06-06 16:17:00 UTC,105000
Ashton Meyer,16,Male,1-420-865-7831,ashtonmeyer@google.com,Hydrocodone/APAP,200000,2021-07-20 19:09:00 UTC,2021-07-20 21:33:00 UTC,110000
Mariam Smith,16,Male,1-410-781-2152,mariamsmith2900@icloud.com,Azithromycin,125000,2022-03-08 10:56:00 UTC,2022-03-08 12:49:00 UTC,87500
Silas Tanner,16,Male,(155) 432-5574,silastanner1382@google.org,Azithromycin,125000,2021-07-04 10:30:00 UTC,2021-07-04 12:53:00 UTC,87500
Cameron Combs,16,Male,(452) 234-3014,cameroncombs@google.com,Synthroid,150000,2021-11-05 22:03:00 UTC,2021-11-06 00:26:00 UTC,105000
Cameron Combs,16,Male,(452) 234-3014,cameroncombs@google.com,Plavix,225000,2021-11-27 22:03:00 UTC,2021-11-27 23:56:00 UTC,100000
Imani Mullins,16,Female,1-864-822-4214,imanimullins@icloud.com,Metoprolol Tartrate,175000,2022-03-11 00:10:00 UTC,2022-03-11 02:34:00 UTC,140000
Indira Carter,16,Female,(233) 844-8236,indiracarter1463@hotmail.com,LevothyroxineSodium,75000,2021-08-03 19:37:00 UTC,2021-08-03 22:01:00 UTC,45000
Indira Carter,16,Female,(233) 844-8236,indiracarter1463@hotmail.com,Crestor,85000,2021-09-12 19:37:00 UTC,2021-09-12 21:31:00 UTC,59500
Jorden Juarez,16,Female,(121) 864-1158,jordenjuarez5605@google.com,Hydrocodone/APAP,200000,2021-02-25 03:02:00 UTC,2021-02-25 05:26:00 UTC,110000
Joseph Battle,16,Female,(860) 675-4178,josephbattle9812@icloud.com,Nexium,270000,2021-09-17 03:47:00 UTC,2021-09-17 06:11:00 UTC,94500
Joseph Battle,16,Female,(860) 675-4178,josephbattle9812@icloud.com,Lipitor,100000,2021-11-18 03:47:00 UTC,2021-11-18 05:41:00 UTC,70000
Clayton Kelley,16,Female,1-885-891-2271,claytonkelley@icloud.com,Simvastatin,110000,2021-09-22 17:39:00 UTC,2021-09-22 20:03:00 UTC,77000
Clayton Kelley,16,Female,1-885-891-2271,claytonkelley@icloud.com,LevothyroxineSodium,75000,2021-11-23 17:39:00 UTC,2021-11-23 19:33:00 UTC,45000
Clayton Kelley,16,Female,1-885-891-2271,claytonkelley@icloud.com,Azithromycin,125000,2021-12-16 17:39:00 UTC,2021-12-16 19:33:00 UTC,87500
Kelsie Gilmore,16,Female,(688) 633-7282,kelsiegilmore@icloud.net,LevothyroxineSodium,75000,2021-10-07 12:30:00 UTC,2021-10-07 14:54:00 UTC,45000
Kelsie Gilmore,16,Female,(688) 633-7282,kelsiegilmore@icloud.net,Azithromycin,125000,2021-10-29 12:30:00 UTC,2021-10-29 14:23:00 UTC,87500
Kelsie Gilmore,16,Female,(688) 633-7282,kelsiegilmore@icloud.net,Metoprolol Tartrate,175000,2021-11-21 12:30:00 UTC,2021-11-21 14:23:00 UTC,140000
Tanek Bradford,16,Female,1-594-757-8318,tanekbradford@icloud.com,Synthroid,150000,2021-01-15 05:48:00 UTC,2021-01-15 08:11:00 UTC,105000
Tanek Bradford,16,Female,1-594-757-8318,tanekbradford@icloud.com,Nexium,270000,2022-01-27 10:56:00 UTC,2022-01-27 13:19:00 UTC,94500
Brian Strickland,16,Male,(287) 797-6514,brianstrickland4729@google.com,Lipitor,100000,2021-11-22 01:05:00 UTC,2021-11-22 03:28:00 UTC,70000
Brian Strickland,16,Male,(287) 797-6514,brianstrickland4729@google.com,Singulair,50000,2021-12-14 01:05:00 UTC,2021-12-14 02:58:00 UTC,40000
Harriet Figueroa,16,Male,(454) 517-9458,harrietfigueroa@google.com,Crestor,85000,2021-12-16 18:02:00 UTC,2021-12-16 20:25:00 UTC,59500
Clementine Cantrell,16,Male,(432) 284-8780,clementinecantrell@icloud.org,Metoprolol Tartrate,175000,2021-01-21 19:58:00 UTC,2021-01-21 22:22:00 UTC,140000
Clementine Cantrell,16,Male,(432) 284-8780,clementinecantrell@icloud.org,Synthroid,150000,2021-03-02 19:58:00 UTC,2021-03-02 21:52:00 UTC,105000
Clementine Cantrell,16,Male,(432) 284-8780,clementinecantrell@icloud.org,LevothyroxineSodium,75000,2022-01-31 01:08:00 UTC,2022-01-31 03:32:00 UTC,45000
Ray Ware,17,Female,(504) 186-1495,rayware@google.net,Lipitor,100000,2021-02-19 15:52:00 UTC,2021-02-19 18:16:00 UTC,70000
Oleg Ross,17,Male,1-723-676-7516,olegross9917@icloud.org,Plavix,225000,2021-08-30 22:35:00 UTC,2021-08-31 00:59:00 UTC,100000
Oleg Ross,17,Male,1-723-676-7516,olegross9917@icloud.org,LevothyroxineSodium,75000,2021-10-31 22:35:00 UTC,2021-11-01 00:29:00 UTC,45000
Oleg Ross,17,Male,1-723-676-7516,olegross9917@icloud.org,Hydrocodone/APAP,200000,2021-12-15 22:35:00 UTC,2021-12-16 00:29:00 UTC,110000
Oleg Ross,17,Male,1-723-676-7516,olegross9917@icloud.org,Crestor,85000,2022-01-14 22:35:00 UTC,2022-01-15 00:29:00 UTC,59500
Aretha Owen,17,Male,(135) 164-6566,arethaowen@google.net,Hydrocodone/APAP,200000,2021-09-23 07:22:00 UTC,2021-09-23 09:46:00 UTC,110000
Aretha Owen,17,Male,(135) 164-6566,arethaowen@google.net,Azithromycin,125000,2021-11-24 07:22:00 UTC,2021-11-24 09:16:00 UTC,87500
Arthur Bass,17,Male,1-312-887-8866,arthurbass@hotmail.com,Hydrocodone/APAP,200000,2022-01-13 16:02:00 UTC,2022-01-13 18:26:00 UTC,110000
Tanek Haney,17,Female,(157) 442-1702,tanekhaney@hotmail.org,Azithromycin,125000,2021-03-18 23:05:00 UTC,2021-03-19 01:29:00 UTC,87500
Joelle Hardy,17,Male,1-327-385-2436,joellehardy2707@icloud.com,LevothyroxineSodium,75000,2021-10-31 23:14:00 UTC,2021-11-01 01:38:00 UTC,45000
Joelle Hardy,17,Male,1-327-385-2436,joellehardy2707@icloud.com,Azithromycin,125000,2021-11-22 23:14:00 UTC,2021-11-23 01:08:00 UTC,87500
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Simvastatin,110000,2021-01-06 08:23:00 UTC,2021-01-06 10:46:00 UTC,77000
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Plavix,225000,2021-02-15 08:23:00 UTC,2021-02-15 10:16:00 UTC,100000
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Synthroid,150000,2021-03-19 08:23:00 UTC,2021-03-19 10:16:00 UTC,105000
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Plavix,225000,2022-01-19 04:09:00 UTC,2022-01-19 06:33:00 UTC,100000
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Simvastatin,110000,2022-02-24 20:40:00 UTC,2022-02-24 22:33:00 UTC,77000
Marah Walker,17,Female,(986) 626-2371,marahwalker@icloud.org,Plavix,225000,2021-02-19 02:18:00 UTC,2021-02-19 04:42:00 UTC,100000
Marah Walker,17,Female,(986) 626-2371,marahwalker@icloud.org,Simvastatin,110000,2021-03-31 02:18:00 UTC,2021-03-31 04:12:00 UTC,77000
Marah Walker,17,Female,(986) 626-2371,marahwalker@icloud.org,Nexium,270000,2021-05-02 02:18:00 UTC,2021-05-02 04:12:00 UTC,94500
Noble Spears,17,Female,(926) 874-7789,noblespears2388@google.org,Crestor,85000,2021-03-10 07:34:00 UTC,2021-03-10 09:58:00 UTC,59500
Patrick Cote,17,Female,1-115-873-5461,patrickcote@icloud.net,Singulair,50000,2021-03-04 05:05:00 UTC,2021-03-04 07:28:00 UTC,40000
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Simvastatin,110000,2021-01-05 20:04:00 UTC,2021-01-05 22:28:00 UTC,77000
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Nexium,270000,2021-02-14 20:04:00 UTC,2021-02-14 21:58:00 UTC,94500
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Hydrocodone/APAP,200000,2021-03-18 20:04:00 UTC,2021-03-18 21:58:00 UTC,110000
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Simvastatin,110000,2022-01-17 21:18:00 UTC,2022-01-17 23:12:00 UTC,77000
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Plavix,225000,2022-02-22 19:00:00 UTC,2022-02-22 21:24:00 UTC,100000
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Azithromycin,125000,2021-01-02 00:35:00 UTC,2021-01-02 02:58:00 UTC,87500
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Plavix,225000,2021-02-11 00:35:00 UTC,2021-02-11 02:28:00 UTC,100000
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Nexium,270000,2021-03-15 00:35:00 UTC,2021-03-15 02:28:00 UTC,94500
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Crestor,85000,2021-06-13 00:35:00 UTC,2021-06-13 02:28:00 UTC,59500
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Simvastatin,110000,2022-01-17 11:44:00 UTC,2022-01-17 13:37:00 UTC,77000
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Metoprolol Tartrate,175000,2022-02-18 23:37:00 UTC,2022-02-19 01:30:00 UTC,140000
Maisie Shields,17,Male,1-357-549-8162,maisieshields5051@icloud.com,Nexium,270000,2021-02-22 10:47:00 UTC,2021-02-22 13:11:00 UTC,94500
Samantha Pratt,17,Female,1-946-743-7108,samanthapratt@hotmail.com,Synthroid,150000,2021-02-08 22:19:00 UTC,2021-02-09 00:43:00 UTC,105000
Samantha Pratt,17,Female,1-946-743-7108,samanthapratt@hotmail.com,Singulair,50000,2021-03-20 22:19:00 UTC,2021-03-21 00:13:00 UTC,40000
Samantha Pratt,17,Female,1-946-743-7108,samanthapratt@hotmail.com,Metoprolol Tartrate,175000,2022-02-14 01:25:00 UTC,2022-02-14 03:49:00 UTC,140000
Orlando Sweeney,17,Female,1-838-786-4005,orlandosweeney@icloud.net,Crestor,85000,2022-03-17 08:47:00 UTC,2022-03-17 11:11:00 UTC,59500
Ruth Williamson,17,Male,(444) 977-1264,ruthwilliamson9692@hotmail.com,Nexium,270000,2021-06-28 01:17:00 UTC,2021-06-28 03:41:00 UTC,94500
Rae Morton,18,Male,(757) 265-3838,raemorton9428@hotmail.net,Plavix,225000,2021-04-25 23:15:00 UTC,2021-04-26 01:39:00 UTC,100000
Rae Morton,18,Male,(757) 265-3838,raemorton9428@hotmail.net,Synthroid,150000,2021-06-04 23:15:00 UTC,2021-06-05 01:09:00 UTC,105000
Rae Morton,18,Male,(757) 265-3838,raemorton9428@hotmail.net,LevothyroxineSodium,75000,2021-07-19 23:15:00 UTC,2021-07-20 01:09:00 UTC,45000
Rae Morton,18,Male,(757) 265-3838,raemorton9428@hotmail.net,Hydrocodone/APAP,200000,2021-10-03 23:15:00 UTC,2021-10-04 01:09:00 UTC,110000
Chase Henry,18,Female,1-341-212-2254,chasehenry650@icloud.com,Synthroid,150000,2021-01-22 17:46:00 UTC,2021-01-22 20:10:00 UTC,105000
Chase Henry,18,Female,1-341-212-2254,chasehenry650@icloud.com,Metoprolol Tartrate,175000,2021-03-03 17:46:00 UTC,2021-03-03 19:40:00 UTC,140000
Chase Henry,18,Female,1-341-212-2254,chasehenry650@icloud.com,Synthroid,150000,2022-01-31 17:31:00 UTC,2022-01-31 19:55:00 UTC,105000
Hayes Hayes,18,Female,(579) 604-6356,hayeshayes855@hotmail.net,Azithromycin,125000,2021-02-21 16:29:00 UTC,2021-02-21 18:53:00 UTC,87500
Tanya Heath,18,Male,(488) 262-0317,tanyaheath7907@icloud.org,Plavix,225000,2021-01-10 02:17:00 UTC,2021-01-10 04:40:00 UTC,100000
Tanya Heath,18,Male,(488) 262-0317,tanyaheath7907@icloud.org,Crestor,85000,2022-01-20 14:36:00 UTC,2022-01-20 17:00:00 UTC,59500
Zelda White,18,Male,(218) 946-4894,zeldawhite@icloud.org,LevothyroxineSodium,75000,2021-08-16 16:06:00 UTC,2021-08-16 18:29:00 UTC,45000
Zelda White,18,Male,(218) 946-4894,zeldawhite@icloud.org,Crestor,85000,2021-10-17 16:06:00 UTC,2021-10-17 17:59:00 UTC,59500
Zelda White,18,Male,(218) 946-4894,zeldawhite@icloud.org,Crestor,85000,2021-12-16 23:03:00 UTC,2021-12-17 01:27:00 UTC,59500
Chaney Floyd,18,Female,(204) 516-7466,chaneyfloyd5134@google.org,Crestor,85000,2021-09-19 23:03:00 UTC,2021-09-20 01:26:00 UTC,59500
Chaney Floyd,18,Female,(204) 516-7466,chaneyfloyd5134@google.org,Singulair,50000,2021-11-20 23:03:00 UTC,2021-11-21 00:56:00 UTC,40000
Clarke Alford,18,Male,(806) 896-2186,clarkealford@hotmail.com,Hydrocodone/APAP,200000,2021-01-10 08:41:00 UTC,2021-01-10 11:05:00 UTC,110000
Clarke Alford,18,Male,(806) 896-2186,clarkealford@hotmail.com,Metoprolol Tartrate,175000,2022-01-21 00:04:00 UTC,2022-01-21 02:28:00 UTC,140000
Colby Lambert,18,Female,1-315-572-1212,colbylambert@icloud.net,Azithromycin,125000,2021-01-20 00:17:00 UTC,2021-01-20 02:41:00 UTC,87500
Colby Lambert,18,Female,1-315-572-1212,colbylambert@icloud.net,Plavix,225000,2022-01-30 19:35:00 UTC,2022-01-30 21:29:00 UTC,100000
Erich Bullock,18,Male,(552) 532-5639,erichbullock3890@hotmail.net,Nexium,270000,2021-12-07 05:43:00 UTC,2021-12-07 08:07:00 UTC,94500
Patricia Goff,18,Female,1-473-328-9443,patriciagoff4747@google.com,Crestor,85000,2022-02-26 03:42:00 UTC,2022-02-26 06:06:00 UTC,59500
Declan Dickson,18,Male,(294) 181-3202,declandickson@icloud.org,Metoprolol Tartrate,175000,2021-01-11 03:47:00 UTC,2021-01-11 06:11:00 UTC,140000
Declan Dickson,18,Male,(294) 181-3202,declandickson@icloud.org,Crestor,85000,2022-01-23 11:17:00 UTC,2022-01-23 13:41:00 UTC,59500
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Lipitor,100000,2021-01-30 20:27:00 UTC,2021-01-30 22:51:00 UTC,70000
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Simvastatin,110000,2021-03-11 20:27:00 UTC,2021-03-11 22:21:00 UTC,77000
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Synthroid,150000,2021-04-12 20:27:00 UTC,2021-04-12 22:21:00 UTC,105000
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Synthroid,150000,2021-07-11 20:27:00 UTC,2021-07-11 22:21:00 UTC,105000
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Azithromycin,125000,2022-02-05 19:54:00 UTC,2022-02-05 22:18:00 UTC,87500
Nomlanga Ortega,18,Female,(683) 843-1212,nomlangaortega@google.org,LevothyroxineSodium,75000,2021-11-29 09:45:00 UTC,2021-11-29 12:09:00 UTC,45000
Gillian Richardson,18,Female,1-710-817-6984,gillianrichardson@google.com,LevothyroxineSodium,75000,2022-02-28 04:09:00 UTC,2022-02-28 06:03:00 UTC,45000
Kai Coffey,19,Male,1-617-928-9776,kaicoffey@hotmail.com,Azithromycin,125000,2021-02-20 23:26:00 UTC,2021-02-21 01:49:00 UTC,87500
Blaze Spence,19,Female,1-852-233-8521,blazespence8683@icloud.net,Azithromycin,125000,2021-03-29 08:49:00 UTC,2021-03-29 11:13:00 UTC,87500
Blaze Spence,19,Female,1-852-233-8521,blazespence8683@icloud.net,Hydrocodone/APAP,200000,2021-05-08 08:49:00 UTC,2021-05-08 10:43:00 UTC,110000
Ethan Mendez,19,Female,1-834-726-0881,ethanmendez@google.net,Hydrocodone/APAP,200000,2021-01-11 19:44:00 UTC,2021-01-11 22:07:00 UTC,110000
Ethan Mendez,19,Female,1-834-726-0881,ethanmendez@google.net,Nexium,270000,2022-01-25 23:03:00 UTC,2022-01-26 00:57:00 UTC,94500
Hayes Deleon,19,Male,(867) 482-2109,hayesdeleon284@google.org,Nexium,270000,2022-03-14 18:07:00 UTC,2022-03-14 20:31:00 UTC,94500
Kellie Russo,19,Female,1-331-442-8967,kellierusso@icloud.com,Hydrocodone/APAP,200000,2021-03-27 14:46:00 UTC,2021-03-27 17:10:00 UTC,110000
Kellie Russo,19,Female,1-331-442-8967,kellierusso@icloud.com,Crestor,85000,2021-05-06 14:46:00 UTC,2021-05-06 16:40:00 UTC,59500
Maisie Heath,19,Male,1-267-421-4601,maisieheath@google.com,Nexium,270000,2022-03-28 07:59:00 UTC,2022-03-28 10:23:00 UTC,94500
Preston Brady,19,Female,(316) 516-7755,prestonbrady@hotmail.com,Crestor,85000,2021-05-29 12:56:00 UTC,2021-05-29 15:20:00 UTC,59500
Preston Brady,19,Female,(316) 516-7755,prestonbrady@hotmail.com,Synthroid,150000,2021-07-08 12:56:00 UTC,2021-07-08 14:50:00 UTC,105000
Preston Brady,19,Female,(316) 516-7755,prestonbrady@hotmail.com,Crestor,85000,2021-08-22 12:56:00 UTC,2021-08-22 14:50:00 UTC,59500
Preston Brady,19,Female,(316) 516-7755,prestonbrady@hotmail.com,Synthroid,150000,2021-11-06 12:56:00 UTC,2021-11-06 14:50:00 UTC,105000
Tyrone Powers,19,Female,1-545-244-2210,tyronepowers@google.net,Metoprolol Tartrate,175000,2021-07-24 05:10:00 UTC,2021-07-24 07:34:00 UTC,140000
Tyrone Powers,19,Female,1-545-244-2210,tyronepowers@google.net,Hydrocodone/APAP,200000,2021-09-02 05:10:00 UTC,2021-09-02 07:04:00 UTC,110000
Tyrone Powers,19,Female,1-545-244-2210,tyronepowers@google.net,Singulair,50000,2021-10-17 05:10:00 UTC,2021-10-17 07:04:00 UTC,40000
Emerald Palmer,19,Female,(383) 247-3450,emeraldpalmer@google.net,Azithromycin,125000,2021-03-07 12:27:00 UTC,2021-03-07 14:51:00 UTC,87500
Hannah Harrell,19,Male,1-673-751-5663,hannahharrell4563@icloud.net,Singulair,50000,2021-09-19 16:44:00 UTC,2021-09-19 19:08:00 UTC,40000
Hannah Harrell,19,Male,1-673-751-5663,hannahharrell4563@icloud.net,Plavix,225000,2021-11-20 16:44:00 UTC,2021-11-20 18:38:00 UTC,100000
Jenette Spence,19,Male,1-243-856-9199,jenettespence@icloud.com,Singulair,50000,2021-03-21 02:38:00 UTC,2021-03-21 05:01:00 UTC,40000
Jenette Spence,19,Male,1-243-856-9199,jenettespence@icloud.com,Azithromycin,125000,2021-04-30 02:38:00 UTC,2021-04-30 04:31:00 UTC,87500
Jenette Spence,19,Male,1-243-856-9199,jenettespence@icloud.com,Metoprolol Tartrate,175000,2021-06-01 02:38:00 UTC,2021-06-01 04:31:00 UTC,140000
Jenette Spence,19,Male,1-243-856-9199,jenettespence@icloud.com,Crestor,85000,2021-08-30 02:38:00 UTC,2021-08-30 04:31:00 UTC,59500
Kadeem Barrett,19,Female,(415) 732-9268,kadeembarrett5824@hotmail.net,Crestor,85000,2022-03-11 03:37:00 UTC,2022-03-11 06:01:00 UTC,59500
Rhiannon Austin,19,Male,(581) 324-7310,rhiannonaustin878@hotmail.net,Synthroid,150000,2021-07-06 06:16:00 UTC,2021-07-06 08:40:00 UTC,105000
Demetrius Jacobson,19,Male,(714) 512-2688,demetriusjacobson@hotmail.net,Nexium,270000,2021-03-22 00:30:00 UTC,2021-03-22 02:54:00 UTC,94500
Demetrius Jacobson,19,Male,(714) 512-2688,demetriusjacobson@hotmail.net,Singulair,50000,2021-05-01 00:30:00 UTC,2021-05-01 02:24:00 UTC,40000
Demetrius Jacobson,19,Male,(714) 512-2688,demetriusjacobson@hotmail.net,Plavix,225000,2021-06-02 00:30:00 UTC,2021-06-02 02:24:00 UTC,100000
Demetrius Jacobson,19,Male,(714) 512-2688,demetriusjacobson@hotmail.net,Plavix,225000,2021-08-31 00:30:00 UTC,2021-08-31 02:24:00 UTC,100000
Remedios Mccormick,19,Female,1-305-524-5345,remediosmccormick3964@hotmail.net,Hydrocodone/APAP,200000,2021-12-12 23:21:00 UTC,2021-12-13 01:45:00 UTC,110000
Ali Garza,20,Male,1-250-420-2252,aligarza@google.net,Synthroid,150000,2022-03-30 00:05:00 UTC,2022-03-30 02:29:00 UTC,105000
Haley Dunn,20,Female,(476) 300-3534,haleydunn@hotmail.net,Hydrocodone/APAP,200000,2022-03-08 15:34:00 UTC,2022-03-08 17:27:00 UTC,110000
Dolan Stone,20,Male,(476) 677-1397,dolanstone9478@google.net,Metoprolol Tartrate,175000,2021-08-19 13:34:00 UTC,2021-08-19 15:58:00 UTC,140000
Dolan Stone,20,Male,(476) 677-1397,dolanstone9478@google.net,Plavix,225000,2021-10-20 13:34:00 UTC,2021-10-20 15:28:00 UTC,100000
Dolan Stone,20,Male,(476) 677-1397,dolanstone9478@google.net,Plavix,225000,2021-12-21 17:39:00 UTC,2021-12-21 19:32:00 UTC,100000
Gay Mueller,20,Female,1-547-861-3221,gaymueller4077@google.net,Plavix,225000,2022-03-18 07:01:00 UTC,2022-03-18 09:25:00 UTC,100000
Jerry Mendez,20,Male,1-376-259-0218,jerrymendez1879@icloud.com,Synthroid,150000,2021-04-21 02:12:00 UTC,2021-04-21 04:36:00 UTC,105000
Jerry Mendez,20,Male,1-376-259-0218,jerrymendez1879@icloud.com,Lipitor,100000,2021-05-31 02:12:00 UTC,2021-05-31 04:06:00 UTC,70000
Jerry Mendez,20,Male,1-376-259-0218,jerrymendez1879@icloud.com,Azithromycin,125000,2021-07-02 02:12:00 UTC,2021-07-02 04:06:00 UTC,87500
Jerry Mendez,20,Male,1-376-259-0218,jerrymendez1879@icloud.com,Synthroid,150000,2021-09-16 02:12:00 UTC,2021-09-16 04:06:00 UTC,105000
Wallace Webb,20,Male,(554) 407-7236,wallacewebb5438@icloud.com,LevothyroxineSodium,75000,2021-08-12 13:27:00 UTC,2021-08-12 15:51:00 UTC,45000
Wallace Webb,20,Male,(554) 407-7236,wallacewebb5438@icloud.com,Lipitor,100000,2021-10-13 13:27:00 UTC,2021-10-13 15:21:00 UTC,70000
Xyla Vincent,20,Female,1-182-115-1363,xylavincent4016@google.org,Plavix,225000,2021-07-20 11:51:00 UTC,2021-07-20 14:14:00 UTC,100000
Bevis Webster,20,Male,1-234-522-0315,beviswebster@hotmail.org,Synthroid,150000,2021-01-14 13:06:00 UTC,2021-01-14 15:30:00 UTC,105000
Bevis Webster,20,Male,1-234-522-0315,beviswebster@hotmail.org,Crestor,85000,2022-01-27 06:50:00 UTC,2022-01-27 09:14:00 UTC,59500
Yasir Griffin,20,Male,1-653-866-3477,yasirgriffin@icloud.com,Hydrocodone/APAP,200000,2021-06-21 10:46:00 UTC,2021-06-21 13:10:00 UTC,110000
Harper Padilla,20,Female,1-382-731-0547,harperpadilla3356@hotmail.net,Synthroid,150000,2021-03-09 03:01:00 UTC,2021-03-09 05:25:00 UTC,105000
Sophia Morales,20,Female,1-876-232-2485,sophiamorales@google.com,Crestor,85000,2021-03-23 16:21:00 UTC,2021-03-23 18:45:00 UTC,59500
Sophia Morales,20,Female,1-876-232-2485,sophiamorales@google.com,Hydrocodone/APAP,200000,2021-05-02 16:21:00 UTC,2021-05-02 18:15:00 UTC,110000
Violet Goodman,20,Male,1-587-770-5245,violetgoodman3504@hotmail.com,Singulair,50000,2021-07-13 06:08:00 UTC,2021-07-13 08:32:00 UTC,40000
Ezekiel Peterson,20,Female,1-839-149-1564,ezekielpeterson7944@google.net,Hydrocodone/APAP,200000,2021-01-11 07:50:00 UTC,2021-01-11 10:14:00 UTC,110000
