Name,Age,Gender,Phone,Email,Product,Price,Order Date,Payment Date
Xena Bartlett,30,Male,1-751-505-7536,xenabartlett8189@google.com,Metoprolol Tartrate,175000,2021-01-31 05:49,2021-01-31 08:13
Seth Livingston,24,Female,(265) 355-1116,sethlivingston1993@google.com,Simvastatin,110000,2021-01-31 18:20,2021-01-31 20:44
Macaulay Donaldson,28,Male,(346) 377-2526,macaulaydonaldson@hotmail.com,Simvastatin,110000,2021-02-01 22:43,2021-02-02 01:07
Hilary Lawson,21,Female,(318) 342-8028,hilarylawson@icloud.com,Metoprolol Tartrate,175000,2021-02-01 23:28,2021-02-02 01:51
Dieter Hughes,37,Female,(364) 984-3100,dieterhughes5974@icloud.org,Azithromycin,125000,2021-02-03 02:17,2021-02-03 04:41
Gage Gordon,23,Female,1-882-571-7375,gagegordon@google.com,Simvastatin,110000,2021-02-03 02:59,2021-02-03 05:23
Emery Blevins,48,Female,(411) 553-6228,emeryblevins@google.org,Plavix,225000,2021-02-03 22:02,2021-02-04 00:26
Rafael Jefferson,47,Female,(841) 845-8596,rafaeljefferson@hotmail.org,Hydrocodone/APAP,200000,2021-02-06 13:32,2021-02-06 15:55
Gail Dillon,23,Male,(361) 256-7348,gaildillon2085@google.net,Plavix,225000,2021-02-07 11:36,2021-02-07 13:59
Knox Ward,35,Female,(344) 276-9237,knoxward3835@google.com,Simvastatin,110000,2021-02-07 19:16,2021-02-07 21:40
Brielle Adkins,48,Male,(643) 657-7657,brielleadkins3214@hotmail.net,Crestor,85000,2021-02-08 08:06,2021-02-08 10:29
Susan Randall,46,Female,1-252-338-5874,susanrandall@icloud.net,LevothyroxineSodium,75000,2021-02-08 11:33,2021-02-08 13:57
Samantha Pratt,17,Female,1-946-743-7108,samanthapratt@hotmail.com,Synthroid,150000,2021-02-08 22:19,2021-02-09 00:43
Winter Evans,48,Male,1-632-437-5725,winterevans4788@google.org,Crestor,85000,2021-02-09 16:27,2021-02-09 18:51
Garrett Clayton,28,Male,1-527-462-7566,garrettclayton4641@icloud.com,Azithromycin,125000,2021-02-10 06:03,2021-02-10 08:26
Iona Rice,49,Female,1-458-545-1743,ionarice2751@icloud.net,LevothyroxineSodium,75000,2021-02-10 19:20,2021-02-10 21:44
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Plavix,225000,2021-02-11 00:35,2021-02-11 02:28
Lilah Santana,40,Male,(715) 735-6286,lilahsantana@hotmail.org,Metoprolol Tartrate,175000,2021-02-11 03:26,2021-02-11 05:49
Drew Daniel,34,Female,(736) 847-7908,drewdaniel@google.com,Singulair,50000,2021-02-12 02:57,2021-02-12 05:21
Slade Swanson,34,Male,(856) 759-1278,sladeswanson@hotmail.org,Plavix,225000,2021-02-12 22:31,2021-02-13 00:55
Marah Rice,35,Female,1-428-282-9257,marahrice@hotmail.com,Azithromycin,125000,2021-02-12 23:05,2021-02-13 01:29
Merrill Burton,33,Female,1-481-551-6055,merrillburton3666@google.org,Hydrocodone/APAP,200000,2021-02-13 02:04,2021-02-13 04:28
Jaime Wall,23,Male,1-952-591-7531,jaimewall@icloud.org,LevothyroxineSodium,75000,2021-02-13 04:28,2021-02-13 06:52
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Nexium,270000,2021-02-14 20:04,2021-02-14 21:58
Craig Lowe,46,Female,1-776-255-7052,craiglowe@hotmail.com,LevothyroxineSodium,75000,2021-02-15 01:21,2021-02-15 03:15
Elaine Randall,26,Male,1-851-475-7859,elainerandall@google.com,Singulair,50000,2021-02-15 06:55,2021-02-15 08:49
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Plavix,225000,2021-02-15 08:23,2021-02-15 10:16
Jorden Gonzales,43,Female,1-308-548-7547,jordengonzales2271@hotmail.org,Plavix,225000,2021-02-15 23:55,2021-02-16 01:48
Burke Rogers,24,Male,1-172-128-5052,burkerogers476@icloud.org,Crestor,85000,2021-02-16 03:16,2021-02-16 05:40
Heidi Jefferson,26,Female,(753) 133-1451,heidijefferson@hotmail.net,Simvastatin,110000,2021-02-16 21:07,2021-02-16 23:31
Marah Walker,17,Female,(986) 626-2371,marahwalker@icloud.org,Plavix,225000,2021-02-19 02:18,2021-02-19 04:42
Harding Jimenez,28,Male,1-747-436-0106,hardingjimenez8882@google.org,Azithromycin,125000,2021-02-19 05:38,2021-02-19 08:02
Zena Hawkins,31,Female,1-686-282-5347,zenahawkins@google.net,Azithromycin,125000,2021-02-19 07:40,2021-02-19 10:04
McKenzie Mccullough,28,Male,1-783-559-7762,mckenziemccullough@google.net,Hydrocodone/APAP,200000,2021-02-19 11:24,2021-02-19 13:48
Ray Ware,17,Female,(504) 186-1495,rayware@google.net,Lipitor,100000,2021-02-19 15:52,2021-02-19 18:16
Kai Coffey,19,Male,1-617-928-9776,kaicoffey@hotmail.com,Azithromycin,125000,2021-02-20 23:26,2021-02-21 01:49
Thane Montoya,45,Male,1-945-626-1328,thanemontoya3366@google.org,Simvastatin,110000,2021-02-21 11:12,2021-02-21 13:35
Hayes Hayes,18,Female,(579) 604-6356,hayeshayes855@hotmail.net,Azithromycin,125000,2021-02-21 16:29,2021-02-21 18:53
Amena Herrera,42,Male,1-562-430-8383,amenaherrera1394@google.com,Nexium,270000,2021-02-22 03:10,2021-02-22 05:34
Kieran Vance,24,Male,(567) 573-2167,kieranvance7856@hotmail.net,Plavix,225000,2021-02-22 07:20,2021-02-22 09:44
Maisie Shields,17,Male,1-357-549-8162,maisieshields5051@icloud.com,Nexium,270000,2021-02-22 10:47,2021-02-22 13:11
Uriah Summers,34,Male,1-611-168-9714,uriahsummers@google.com,Nexium,270000,2021-02-23 07:07,2021-02-23 09:30
Virginia Hodge,46,Female,1-213-456-9237,virginiahodge7775@google.net,LevothyroxineSodium,75000,2021-02-23 19:32,2021-02-23 21:56
Jorden Juarez,16,Female,(121) 864-1158,jordenjuarez5605@google.com,Hydrocodone/APAP,200000,2021-02-25 03:02,2021-02-25 05:26
Malachi Phelps,38,Male,(315) 886-7670,malachiphelps@hotmail.net,Hydrocodone/APAP,200000,2021-02-25 21:28,2021-02-25 23:52
Kirby O'Neill,15,Female,(331) 579-8937,kirbyoneill@google.com,Singulair,50000,2021-02-25 21:59,2021-02-26 00:23
Lillith Erickson,34,Female,(637) 583-3528,lillitherickson@google.net,Crestor,85000,2021-03-01 02:15,2021-03-01 04:38
Nyssa Shields,30,Female,1-562-805-3843,nyssashields652@hotmail.net,Lipitor,100000,2021-03-02 18:41,2021-03-02 21:05
Clementine Cantrell,16,Male,(432) 284-8780,clementinecantrell@icloud.org,Synthroid,150000,2021-03-02 19:58,2021-03-02 21:52
Chase Henry,18,Female,1-341-212-2254,chasehenry650@icloud.com,Metoprolol Tartrate,175000,2021-03-03 17:46,2021-03-03 19:40
Leilani Figueroa,49,Male,1-824-328-1345,leilanifigueroa193@icloud.org,Crestor,85000,2021-03-03 18:58,2021-03-03 21:22
Patrick Cote,17,Female,1-115-873-5461,patrickcote@icloud.net,Singulair,50000,2021-03-04 05:05,2021-03-04 07:28
Azalia Bird,31,Female,1-662-865-3833,azaliabird@hotmail.net,Azithromycin,125000,2021-03-04 17:43,2021-03-04 20:06
Constance Dawson,47,Male,1-578-252-4848,constancedawson1996@google.net,Plavix,225000,2021-03-04 19:46,2021-03-04 21:40
Maisie Acevedo,47,Female,1-633-524-7035,maisieacevedo@google.org,Lipitor,100000,2021-03-05 09:45,2021-03-05 12:08
Darius Terrell,25,Female,(257) 356-5457,dariusterrell9650@google.org,Nexium,270000,2021-03-05 19:45,2021-03-05 22:09
Daniel Lang,45,Female,1-133-717-2364,daniellang9954@hotmail.com,Simvastatin,110000,2021-03-05 21:40,2021-03-05 23:33
Aileen Rios,28,Male,1-345-292-1436,aileenrios@hotmail.org,Nexium,270000,2021-03-05 22:49,2021-03-06 00:42
Hayley O'donnell,23,Female,1-434-736-2888,hayleyodonnell@icloud.com,Simvastatin,110000,2021-03-06 10:11,2021-03-06 12:35
Emerald Palmer,19,Female,(383) 247-3450,emeraldpalmer@google.net,Azithromycin,125000,2021-03-07 12:27,2021-03-07 14:51
Tiger Peterson,26,Male,(133) 525-1277,tigerpeterson@google.net,Lipitor,100000,2021-03-07 14:23,2021-03-07 16:17
Elmo Lynn,35,Female,(643) 139-6161,elmolynn3860@hotmail.org,Hydrocodone/APAP,200000,2021-03-07 14:46,2021-03-07 16:40
Nola Owens,46,Female,(785) 802-7160,nolaowens@google.net,Hydrocodone/APAP,200000,2021-03-08 15:26,2021-03-08 17:19
Abdul Henderson,45,Male,1-583-414-4341,abdulhenderson@icloud.org,Plavix,225000,2021-03-08 16:37,2021-03-08 18:31
Harper Padilla,20,Female,1-382-731-0547,harperpadilla3356@hotmail.net,Synthroid,150000,2021-03-09 03:01,2021-03-09 05:25
Oscar Fields,28,Male,(856) 490-6381,oscarfields@hotmail.com,LevothyroxineSodium,75000,2021-03-10 04:07,2021-03-10 06:01
Noble Spears,17,Female,(926) 874-7789,noblespears2388@google.org,Crestor,85000,2021-03-10 07:34,2021-03-10 09:58
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Simvastatin,110000,2021-03-11 20:27,2021-03-11 22:21
Xena Bartlett,30,Male,1-751-505-7536,xenabartlett8189@google.com,Nexium,270000,2021-03-12 05:49,2021-03-12 07:43
Seth Livingston,24,Female,(265) 355-1116,sethlivingston1993@google.com,Simvastatin,110000,2021-03-12 18:20,2021-03-12 20:13
Jackson Osborn,49,Female,(859) 521-5850,jacksonosborn7148@google.net,Synthroid,150000,2021-03-12 20:16,2021-03-12 22:40
Kylee Michael,29,Male,(343) 878-3836,kyleemichael@google.org,Synthroid,150000,2021-03-12 20:41,2021-03-12 23:05
Macaulay Donaldson,28,Male,(346) 377-2526,macaulaydonaldson@hotmail.com,LevothyroxineSodium,75000,2021-03-13 22:43,2021-03-14 00:37
Hilary Lawson,21,Female,(318) 342-8028,hilarylawson@icloud.com,Metoprolol Tartrate,175000,2021-03-13 23:28,2021-03-14 01:21
Cain Munoz,33,Female,1-386-652-1151,cainmunoz190@icloud.org,Nexium,270000,2021-03-14 00:48,2021-03-14 03:12
Damon Cook,40,Female,1-842-156-9167,damoncook4184@icloud.org,Plavix,225000,2021-03-14 03:40,2021-03-14 06:04
Oleg Turner,41,Male,1-755-512-2880,olegturner@google.net,Crestor,85000,2021-03-14 08:47,2021-03-14 11:11
Jaquelyn Mejia,17,Female,(474) 467-3527,jaquelynmejia@google.net,Nexium,270000,2021-03-15 00:35,2021-03-15 02:28
Dieter Hughes,37,Female,(364) 984-3100,dieterhughes5974@icloud.org,Lipitor,100000,2021-03-15 02:17,2021-03-15 04:11
Gage Gordon,23,Female,1-882-571-7375,gagegordon@google.com,LevothyroxineSodium,75000,2021-03-15 02:59,2021-03-15 04:53
Emery Blevins,48,Female,(411) 553-6228,emeryblevins@google.org,Hydrocodone/APAP,200000,2021-03-15 22:02,2021-03-15 23:56
Solomon Hines,41,Male,1-836-755-7602,solomonhines@hotmail.net,Azithromycin,125000,2021-03-16 17:51,2021-03-16 20:15
Rafael Jefferson,47,Female,(841) 845-8596,rafaeljefferson@hotmail.org,Synthroid,150000,2021-03-18 13:32,2021-03-18 15:25
Ciara Burnett,17,Female,(596) 421-2201,ciaraburnett@icloud.org,Hydrocodone/APAP,200000,2021-03-18 20:04,2021-03-18 21:58
Tanek Haney,17,Female,(157) 442-1702,tanekhaney@hotmail.org,Azithromycin,125000,2021-03-18 23:05,2021-03-19 01:29
Craig Lowe,46,Female,1-776-255-7052,craiglowe@hotmail.com,Singulair,50000,2021-03-19 01:21,2021-03-19 03:15
Elaine Randall,26,Male,1-851-475-7859,elainerandall@google.com,Singulair,50000,2021-03-19 06:55,2021-03-19 08:49
Kylan Barber,17,Male,(972) 967-3767,kylanbarber3414@google.net,Synthroid,150000,2021-03-19 08:23,2021-03-19 10:16
Gail Dillon,23,Male,(361) 256-7348,gaildillon2085@google.net,Azithromycin,125000,2021-03-19 11:36,2021-03-19 13:29
Knox Ward,35,Female,(344) 276-9237,knoxward3835@google.com,Nexium,270000,2021-03-19 19:16,2021-03-19 21:09
Brielle Adkins,48,Male,(643) 657-7657,brielleadkins3214@hotmail.net,LevothyroxineSodium,75000,2021-03-20 08:06,2021-03-20 09:59
Susan Randall,46,Female,1-252-338-5874,susanrandall@icloud.net,LevothyroxineSodium,75000,2021-03-20 11:33,2021-03-20 13:27
Joy Stone,43,Female,(953) 763-1696,joystone@google.org,Simvastatin,110000,2021-03-20 12:42,2021-03-20 15:06
Samantha Pratt,17,Female,1-946-743-7108,samanthapratt@hotmail.com,Singulair,50000,2021-03-20 22:19,2021-03-21 00:13
Jenette Spence,19,Male,1-243-856-9199,jenettespence@icloud.com,Singulair,50000,2021-03-21 02:38,2021-03-21 05:01
Winter Evans,48,Male,1-632-437-5725,winterevans4788@google.org,Crestor,85000,2021-03-21 16:27,2021-03-21 18:21
Demetrius Jacobson,19,Male,(714) 512-2688,demetriusjacobson@hotmail.net,Nexium,270000,2021-03-22 00:30,2021-03-22 02:54
Garrett Clayton,28,Male,1-527-462-7566,garrettclayton4641@icloud.com,Lipitor,100000,2021-03-22 06:03,2021-03-22 07:56
Henry Vaughan,49,Female,1-766-752-5783,henryvaughan3897@google.net,Simvastatin,110000,2021-03-22 12:14,2021-03-22 14:38
Evangeline Mullen,27,Female,(583) 745-1667,evangelinemullen3377@google.com,Simvastatin,110000,2021-03-22 17:09,2021-03-22 19:33
Amethyst Paul,23,Male,(772) 920-5214,amethystpaul7766@google.net,Simvastatin,110000,2021-03-22 18:22,2021-03-22 20:46
Iona Rice,49,Female,1-458-545-1743,ionarice2751@icloud.net,Crestor,85000,2021-03-22 19:20,2021-03-22 21:13
Bruce Parsons,34,Female,1-485-746-1347,bruceparsons@hotmail.org,Synthroid,150000,2021-03-23 01:10,2021-03-23 03:34
Lilah Santana,40,Male,(715) 735-6286,lilahsantana@hotmail.org,LevothyroxineSodium,75000,2021-03-23 03:26,2021-03-23 05:19
Sophia Morales,20,Female,1-876-232-2485,sophiamorales@google.com,Crestor,85000,2021-03-23 16:21,2021-03-23 18:45
Edward Woodward,47,Female,1-738-837-2018,edwardwoodward@hotmail.com,Nexium,270000,2021-03-24 02:53,2021-03-24 05:17
Donna Guerrero,39,Male,(689) 457-8101,donnaguerrero7699@hotmail.org,Plavix,225000,2021-03-24 15:51,2021-03-24 18:14
Adam Madden,15,Female,1-765-414-6743,adammadden87@hotmail.org,Hydrocodone/APAP,200000,2021-03-25 00:46,2021-03-25 03:10
Jaime Wall,23,Male,1-952-591-7531,jaimewall@icloud.org,Synthroid,150000,2021-03-25 04:28,2021-03-25 06:22
Rachel Lynn,49,Male,(769) 851-6155,rachellynn1820@hotmail.net,Crestor,85000,2021-03-25 19:04,2021-03-25 21:28
Freya Cote,15,Female,(211) 486-1516,freyacote@icloud.net,Synthroid,150000,2021-03-27 05:17,2021-03-27 07:41
Hilel Carrillo,45,Female,1-457-219-7189,hilelcarrillo8174@icloud.org,Lipitor,100000,2021-03-27 06:25,2021-03-27 08:48
Kellie Russo,19,Female,1-331-442-8967,kellierusso@icloud.com,Hydrocodone/APAP,200000,2021-03-27 14:46,2021-03-27 17:10
Burke Rogers,24,Male,1-172-128-5052,burkerogers476@icloud.org,Simvastatin,110000,2021-03-28 03:16,2021-03-28 05:10
Heidi Jefferson,26,Female,(753) 133-1451,heidijefferson@hotmail.net,Nexium,270000,2021-03-28 21:07,2021-03-28 23:01
Blaze Spence,19,Female,1-852-233-8521,blazespence8683@icloud.net,Azithromycin,125000,2021-03-29 08:49,2021-03-29 11:13
Marah Walker,17,Female,(986) 626-2371,marahwalker@icloud.org,Simvastatin,110000,2021-03-31 02:18,2021-03-31 04:12
Harding Jimenez,28,Male,1-747-436-0106,hardingjimenez8882@google.org,Hydrocodone/APAP,200000,2021-03-31 05:38,2021-03-31 07:32
Zena Hawkins,31,Female,1-686-282-5347,zenahawkins@google.net,Hydrocodone/APAP,200000,2021-03-31 07:40,2021-03-31 09:34
Salvador Frederick,28,Female,(545) 494-3427,salvadorfrederick8108@hotmail.org,Synthroid,150000,2021-03-31 16:26,2021-03-31 18:50
Claire Greer,35,Male,(732) 472-4137,clairegreer7371@google.org,Synthroid,150000,2021-03-31 23:46,2021-04-01 02:10
Kyra Gates,35,Female,1-815-747-8595,kyragates7336@google.com,Plavix,225000,2021-04-02 04:13,2021-04-02 06:37
Rafael Hogan,28,Female,(807) 137-4831,rafaelhogan@google.org,Hydrocodone/APAP,200000,2021-04-02 08:48,2021-04-02 11:12
Mona Morales,35,Male,1-672-324-7916,monamorales@google.com,Crestor,85000,2021-04-03 04:45,2021-04-03 07:09
Maggie Tran,47,Male,(558) 922-5007,maggietran2051@icloud.net,Simvastatin,110000,2021-04-04 07:55,2021-04-04 10:19
Sacha Lewis,50,Male,1-858-614-9734,sachalewis@google.org,Synthroid,150000,2021-04-04 17:12,2021-04-04 19:35
Elmo Lynn,35,Female,(643) 139-6161,elmolynn3860@hotmail.org,Synthroid,150000,2021-04-08 14:46,2021-04-08 16:40
Nola Owens,46,Female,(785) 802-7160,nolaowens@google.net,Plavix,225000,2021-04-09 15:26,2021-04-09 17:19
Abdul Henderson,45,Male,1-583-414-4341,abdulhenderson@icloud.org,Simvastatin,110000,2021-04-09 16:37,2021-04-09 18:31
Moses Campos,50,Female,1-978-676-8642,mosescampos@google.org,Synthroid,150000,2021-04-09 17:23,2021-04-09 19:47
Glenna Leon,22,Male,(482) 661-4466,glennaleon@icloud.org,LevothyroxineSodium,75000,2021-04-10 04:16,2021-04-10 06:40
Moses Hyde,29,Male,1-768-862-6056,moseshyde29@google.com,Synthroid,150000,2021-04-10 11:27,2021-04-10 13:51
Ayanna Houston,44,Female,(415) 535-2208,ayannahouston6272@hotmail.org,Metoprolol Tartrate,175000,2021-04-10 19:45,2021-04-10 22:09
Oscar Fields,28,Male,(856) 490-6381,oscarfields@hotmail.com,Singulair,50000,2021-04-11 04:07,2021-04-11 06:01
Jordan Cleveland,32,Female,1-697-355-3360,jordancleveland@hotmail.net,Simvastatin,110000,2021-04-12 11:01,2021-04-12 13:24
Audra Lancaster,18,Male,1-334-337-7056,audralancaster1959@hotmail.com,Synthroid,150000,2021-04-12 20:27,2021-04-12 22:21
Xena Bartlett,30,Male,1-751-505-7536,xenabartlett8189@google.com,Azithromycin,125000,2021-04-13 05:49,2021-04-13 07:43
Seth Livingston,24,Female,(265) 355-1116,sethlivingston1993@google.com,Plavix,225000,2021-04-13 18:20,2021-04-13 20:13
Ivory Melton,35,Male,(586) 710-3602,ivorymelton9560@google.net,Metoprolol Tartrate,175000,2021-04-13 19:15,2021-04-13 21:39
Fulton Armstrong,23,Female,1-377-435-3858,fultonarmstrong3202@hotmail.org,Crestor,85000,2021-04-14 05:49,2021-04-14 08:13
Olympia Chavez,21,Male,1-582-954-1837,olympiachavez@hotmail.org,Lipitor,100000,2021-04-16 11:07,2021-04-16 13:31
Hanna Carr,23,Female,1-397-815-5817,hannacarr6040@icloud.net,Singulair,50000,2021-04-17 13:29,2021-04-17 15:53
Denton Davenport,26,Female,(540) 237-7621,dentondavenport@icloud.org,Hydrocodone/APAP,200000,2021-04-18 14:42,2021-04-18 17:06
Francis Oneil,23,Female,(817) 264-5414,francisoneil@hotmail.com,Simvastatin,110000,2021-04-20 22:26,2021-04-21 00:50
Jerry Mendez,20,Male,1-376-259-0218,jerrymendez1879@icloud.com,Synthroid,150000,2021-04-21 02:12,2021-04-21 04:36
Leroy Doyle,24,Male,(182) 418-2894,leroydoyle@hotmail.com,LevothyroxineSodium,75000,2021-04-22 12:44,2021-04-22 15:08
Brenden Small,32,Female,1-981-351-4719,brendensmall6648@hotmail.org,Singulair,50000,2021-04-22 13:29,2021-04-22 15:52
Caleb Nelson,41,Male,(272) 380-2531,calebnelson813@icloud.org,Crestor,85000,2021-04-22 16:58,2021-04-22 19:22
Ezekiel Solis,35,Male,(942) 171-3365,ezekielsolis2948@google.org,Synthroid,150000,2021-04-23 16:01,2021-04-23 18:25
Renee O'brien,26,Female,1-867-386-3267,reneeobrien3139@google.net,Hydrocodone/APAP,200000,2021-04-24 08:24,2021-04-24 10:48
Wing Harrison,42,Male,1-598-298-8946,wingharrison4404@icloud.com,Azithromycin,125000,2021-04-25 22:52,2021-04-26 01:15
Rae Morton,18,Male,(757) 265-3838,raemorton9428@hotmail.net,Plavix,225000,2021-04-25 23:15,2021-04-26 01:39
Rahim Cook,16,Male,(355) 777-1682,rahimcook@google.com,Synthroid,150000,2021-04-29 15:38,2021-04-29 18:02
Heidi Jefferson,26,Female,(753) 133-1451,heidijefferson@hotmail.net,Hydrocodone/APAP,200000,2021-04-29 21:07,2021-04-29 23:01
Jenette Spence,19,Male,1-243-856-9199,jenettespence@icloud.com,Azithromycin,125000,2021-04-30 02:38,2021-04-30 04:31
Demetrius Jacobson,19,Male,(714) 512-2688,demetriusjacobson@hotmail.net,Singulair,50000,2021-05-01 00:30,2021-05-01 02:24
Henry Vaughan,49,Female,1-766-752-5783,henryvaughan3897@google.net,Azithromycin,125000,2021-05-01 12:14,2021-05-01 14:08
Evangeline Mullen,27,Female,(583) 745-1667,evangelinemullen3377@google.com,Hydrocodone/APAP,200000,2021-05-01 17:09,2021-05-01 19:03
Amethyst Paul,23,Male,(772) 920-5214,amethystpaul7766@google.net,Crestor,85000,2021-05-01 18:22,2021-05-01 20:16
Bruce Parsons,34,Female,1-485-746-1347,bruceparsons@hotmail.org,Crestor,85000,2021-05-02 01:10,2021-05-02 03:04
Marah Walker,17,Female,(986) 626-2371,marahwalker@icloud.org,Nexium,270000,2021-05-02 02:18,2021-05-02 04:12
Harding Jimenez,28,Male,1-747-436-0106,hardingjimenez8882@google.org,LevothyroxineSodium,75000,2021-05-02 05:38,2021-05-02 07:32
Zena Hawkins,31,Female,1-686-282-5347,zenahawkins@google.net,Nexium,270000,2021-05-02 07:40,2021-05-02 09:34
Sophia Morales,20,Female,1-876-232-2485,sophiamorales@google.com,Hydrocodone/APAP,200000,2021-05-02 16:21,2021-05-02 18:15
Edward Woodward,47,Female,1-738-837-2018,edwardwoodward@hotmail.com,Plavix,225000,2021-05-03 02:53,2021-05-03 04:46
Indigo Powell,49,Male,(611) 853-9473,indigopowell1536@hotmail.net,Hydrocodone/APAP,200000,2021-05-03 08:08,2021-05-03 10:31
Donna Guerrero,39,Male,(689) 457-8101,donnaguerrero7699@hotmail.org,Plavix,225000,2021-05-03 15:51,2021-05-03 17:44
